Comment,Llama 70B,Mixtral,Deepseek,Llama 70B Round1,Mixtral Round1,Deepseek Round1,Llama 70B Final,Mixtral Final,Deepseek Final
"Oh boy...Haycox has really gone off the edge this time.  Alaska will be a part of the rebuilding of our economy and our country.  When haycox says the democrats have left the working class because they are ""white trash"".  Well there is a certain amount of truth in this statement in that this is the attitude of the yuppies, hedge fund managers and coupon clippers that HIllary hopes will elect her to the presidency.  No...when the democrats left the working class was when they signed up with the extreme environmental agenda and declared war on America's working class in resource development jobs.  It is one of the interesting  twists to this election that haycox in his own ivory tower completely misses.",Democrats' abandonment of working class due to extreme environmental agenda,Class Betrayal,Economic vs. Environmental Priorities: The Democratic Divide,"- Perceived abandonment of the working class by the Democratic party
- Focus on extreme environmental agendas
- Elitist attitude among Democrats
- Irony in the commenter's position
- Perceived betrayal of the working class
- Conflict between economic and environmental priorities within the Democratic party
- Environmental Priorities vs. Working Class Interests: Democratic Divide",Environmental Priorities vs. Working Class Interests: Democratic Divide,Environmental Priorities vs. Working Class Interests: Democratic Divide,Democratic Party's Environmental Focus and Impact on Working Class Jobs and Divide,Environmental Priorities vs. Working Class Interests: Democratic Divide,Democratic Party Divide: Environment vs. Working Class
"No, but that's not what we're talking about here is it?  Why?  Because someone can't decide to identify as a different race (yet).  Rachel Dolezal gave that a good try though.  

Think about this, colleges granting full ride scholarships to the best ""female"" athletes.  You would have ""transgender boys/men"" taking sport scholarships from real girls/women because they're better at them is certain sports.  

That'd be no different then a Elizabeth Warren being granted teaching jobs at Ivy League schools by falsely claiming she's Native American when she's not.  You liberals better think these ridiculous new ""rules and laws"" through before blindly going along with them like the sheep you are.",Inequitable Consequences of Fluid Identity and Policy,Identity Authenticity Concerns,Identity Fraud in Opportunity Allocation,"Fluid Identity Inequity  
Identity Policy Inequity  
Misused Identity Concerns  
Misidentified Access to Opportunities","1. **Identity Misrepresentation and Advantage**
2. **Unfair Access and Identity Integrity**
3. **Authenticity and Equity in Opportunities**
4. **Perceived Identity Fraud and Inequity**",**Refined Code:** Identity Authenticity and Opportunity Fairness,Identity Authenticity and Opportunity Fairness,Identity Authenticity and Opportunity Fairness,**Identity Authenticity and Fair Opportunity Access**
"a 45-year-old male student, who dresses as a woman and goes by the name Colleen Francis, undressed and exposed his genitals on several occasions inside the woman’s locker room at Evergreen State College.

Students from nearby Olympia High School as well as children at a local swimming club share locker rooms with the college.

According to a police report, the mother of a 17-year-old girl complained after her daughter saw the transgender individual walking naked in the locker room. A female swim coach confronted the man sprawled out in a sauna exposing himself. She ordered him to leave and called police.

The coach later apologized when she discovered the man was transgendered but explained there were girls using the facility as young as six years old who weren’t used to seeing male genitals.",The qualitative code for this comment could be: Distress and confusion caused by exposure to male genitals in women's locker room by transgender individual.,Boundary Disruption,**Code:** Locker Room Privacy and Gender Identity,"- Exposure in Shared Women's Locker Room Causing Distress
- Boundary Disruption in Shared Spaces
- Locker Room Privacy and Gender Identity","1. Boundary Disruption
2. Locker Room Privacy and Gender Identity
3. Gendered Space and Privacy
4. Locker Room Privacy and Inclusivity",**Code:** Locker Room Privacy and Gender Identity,"```plaintext
Comment: Locker Room Privacy and Gender Identity Exposure Incident
```",Locker Room Privacy and Gender Identity,**Locker Room Privacy and Gender Identity**
"you are correct sir, in that I did call it ""kiddie"" porn when it is clearly soft porn.  not my area of expertise I must admit.,  I do know what kiddie porn is because it is always in the story of another caught ped.  I did misspeak. however the pictures are just salacious and this maybe not the best place to display them.  trumps views on women are pretty clear to those who oppose him.  to those who support him - they apparently done't care - even the women he hates so much...+++I believe I owe you an apology for coming to the thought that you were a jerk. your last sentence after the pics were not very clear as to why they got posted.  so MY APOLOGIES TO YOU...and look forward to future conversations...","Certainly! The qualitative code extracted from the comment is:

- Apology
- Mislabeling
- Inappropriate Content
- Views on Women",Reflective Accountability,Acknowledgment and Correction,Reflective Correction and Accountability,"1. **Reflective Accountability (LLM-2)**
2. **Acknowledgment and Correction (LLM-3)**
3. **Reflective Correction and Accountability (LLM-1's refinement)**
4. **Reflective Correction, Accountability, and Apologetic Growth**",**Code:** Acknowledgment and Correction,Acknowledgment and Correction,"The qualitative code extracted from the response is: 'Reflective Correction and Accountability' or 'Reflective Correction, Accountability, and Apologetic Growth'.","Reflective Correction, Accountability, and Apologetic Growth"
"And how did the ""little guy"" get neglected? The Republicans promised that ""trickle down"" would benefit the little guy. Instead they got ""tinkled on"". People praised the wealthy for their hard work that led to their riches. ""Anyone who works hard can make it"". Instead jobs got shipped to foreign countries. Panama, Cayman Islands and Delaware are tax havens (for Clintons too). 
But Trump's main focus for this is immigrants and Muslims. Building a wall (that Mexico will pay for), trade wars and killing the families of terrorists will not make America ""great again"". We'd have to tear down the Statue of Liberty.",Broken Promises and Prioritizing Exclusion over Economic Equity,Economic Betrayal and Misdirected Blame,**Qualitative Code: Betrayal of the 'Little Guy'**,**Qualitative Code: Betrayal of Economic Promises and Shift Towards Exclusion**,**Collaborative Code**: Economic Betrayal of the 'Little Guy': Broken Promises and Exclusionary Politics,**Refined Qualitative Code: Betrayal of the 'Little Guy': Economic Neglect and Exclusionary Politics**,Economic Betrayal of the 'Little Guy': Broken Promises and Exclusionary Politics,Economic Betrayal of the 'Little Guy': Broken Promises and Exclusionary Politics,**Final Agreed Qualitative Code: Betrayal of the 'Little Guy': Economic Neglect and Exclusionary Politics**
"Man is his belly full of Koolaid, who has grown government I mean really, Bush created a whole new department and left us with a huge deficit. Did not Reagan do the same run deficits? What about  the Patriot Act; Talk about government intrusion. The Truth is when it comes down to it much as I hate to say it, Clinton was right, Bill that is, its the economy stupid, JOBS!!! I watched Bil Maher last night and he nailed it, Trump, does not give a damn about abortion or guns or gay marriage or bath rooms, and he is winning. GOP get a clue you have mis judged and  irrelevant.",Political disillusionment and concern for economy,Economic Focus Over Partisan Ideology,**Code:** Government Overreach and Economic Priorities in Politics,"Political Disillusionment and Economic Concern

Economic Priorities Over Partisanship

Government Overreach and Economic Focus in Politics","- Government Overreach and Economic Focus in Politics
- Economic Priorities over Government Overreach
- Economic Focus amidst Government Overreach and Political Disillusionment
- Economic Concerns vs. Government Overreach",Government Overreach and Economic Concerns,Economic Concerns vs. Government Overreach,Economic Concerns vs. Government Overreach,Economic Concerns vs. Government Overreach
"Is that it ?   That's all the garbage you can come up with to bash Trump ?   At least he's not under investigation by the FBI .  She may get indicted for the crimes EVERYONE knows she commited . She's costing the taxpayers thousands on dollars each day to pay for the dozens of FBI agents working on her case.   Plus , she lied to the faces of the parents who lost the four sons over the reason they were killed.  And how about all those women she attacked and tried to destroy as she enabled her husband from the time is was governor through the White House ?",The qualitative code for the comment is: Comparison of FBI investigations and perceived accountability between Trump and Clinton.,Defensive Partisanship,Fraudulent Leadership and Taxpayer Abuse,"1. Political Figure Investigation Comparison
2. Defensive Partisan Defense and Political Contrast
3. Questionable Leadership and Taxpayer Costs","- Comparative Investigation and Accountability
- Politician Investigation Contrast
- Defensive Partisanship in Politician Controversy
- Partisan Perspective on Leadership Corruption
- Corrupt Leadership and Taxpayer Abuse: A Comparative Perspective
- Politician Corruption and Public Expense Comparison
- Partisan Corruption Comparison",Fraudulent Leadership and Taxpayer Abuse,Fraudulent Leadership and Taxpayer Burden,Corruption and Leadership Controversy,Fraudulent Leadership and Taxpayer Abuse
"OK, if Americans believe the country is on the wrong track then why did they turn Congress over to a Republican Just Say No, do nothing Congress?  American voters don't know what they want.  President Bill Clinton gave the nation a national budget surplus during his eight-year term.  What happened next?  The Republicans racked up the first $7 trillion in debt and still counting.  China and Japan will own America if they don't already, and Trump's worried more about Mexicans crossing the border?  We heard and witnessed the same campaign slogan from billionaire Ross Perot and look what happened to him.  Trump may have made it pass the Republican primaries, but I don't believe he'll make it pass the general election.  When Trump  loses the White House, mark my words, his narcissistic personality will sue the United States.  Haha",Republican Inaction and Increasing Debt,Politicized Disillusionment,Frustration with Political Leadership and Predicted Failure,"1. Republican Inaction and Debt Concerns
2. Politicized Disillusionment
3. Frustration and Predicted Failure","- **Government Inaction and Fiscal Irresponsibility** (LLM-1)
- **Politicized Disillusionment: Voter-Party Disparity** (LLM-2)
- **Frustration and Forecasted Failure** (LLM-3)",Disillusionment and Forecasted Failure,Disillusionment and Forecasted Failure,Disillusionment and Forecasted Failure,Disillusionment and Forecasted Failure
"Yale is private, the U of O is not.
Slavery isn't just some long past forgotten event. It lasted for hundreds of years; today, African-Americans still feel they are second-class citizens. Imagine how you, if you're a white person reading this, would feel about attending a school where a building was named in honor of a white person that had owned and mistreated one of your ancestors. Time to forgive AND forget?
I'd argue, ""Hell, no!""
Either one has the capacity to see another's point of view or one doesn't. It simply is unacceptable to continue to praise these men by leaving the buildings' names in place. They've had their day in the sun, it's time to retire them to the shade. 
I propose we rename the two buildings either for other Oregonians with cleaner backgrounds or else for black civil rights leaders such as WEB Du Bois or Frederick Douglass.",Renaming buildings in recognition of racial justice,Reclaiming Legacy,**Code: Addressing Historical Injustices Through Renaming for Equity**,Reclaiming Institutional Legacy: Addressing Past Wrongs through Renaming for Justice and Inclusion,"- Renaming buildings in recognition of racial justice
- Reclaiming Legacy
- Addressing Historical Injustices Through Renaming for Equity
- Reclaiming Institutional Legacy: Addressing Past Wrongs through Renaming for Justice and Inclusion
- Reclaiming Institutional Legacy: Renaming for Racial Justice and Equity",Renaming for Racial Justice and Equity,Reclaiming Institutional Legacy: Addressing Past Wrongs through Renaming for Justice and Inclusion,Reclaiming Institutional Legacy: Addressing Past Wrongs through Renaming for Justice and Inclusion,**Final Code: Renaming for Racial Justice and Equity**
"This is good spin, Larry, but it doesn't work. If racists in the South (admittedly, probably Democrats at the time) systematically kept blacks from voting (and lots of other things) for a century -- without perhaps being so stupid as to say that that's what they were doing, but in practice it was very clear -- then when it's time to change that policy, to make amends for that policy, it may be necessary to identify the racial groups that have been systematically discriminated against for decades, in order to be sure that that treatment is being corrected and reversed. That requires identifying people by race. That's not racism, that's combating racism. In the long run, we'll have a world where that won't be necessary, and then your spin will be appropriate. But, you know what they say. In the long run, we'll all be dead. You can hide from the truth if you wish, but the truth is that the Republican Party is now the party of racism and racists.","Certainly! The qualitative code for the comment Combatting systemic discrimination and racism could be:

- **Anti-Discrimination**
- **Racial Equality**
- **Social Justice**
- **Equity and Inclusion**",Confronting Systemic Racism,**Code:** Systematic Racial Discrimination and the Necessity of Targeted Solutions,"Combatting Systemic Discrimination and the Need for Targeted Solutions

Confronting Systemic Racism and Targeted Approaches

Systemic Racial Discrimination and the Necessity of Targeted Solutions","- Combatting systemic discrimination and racism
- Confronting Systemic Racism
- Systematic Racial Discrimination and the Necessity of Targeted Solutions
- Systemic Racial Discrimination Requiring Targeted Solutions",**Refined Code:** Systematic Racial Discrimination and Targeted Solutions,Systemic Racial Discrimination Requiring Targeted Solutions,Systemic Racial Discrimination Requiring Targeted Solutions,Systemic Racial Discrimination Requiring Targeted Solutions
"Ruiz's pathetic response: 

""George,

I was disheartened reading your guest viewpoint in today’s Register Guard.  By most accounts, the city hall process has not gone as hoped for, and I accept responsibility for my part in this process, including not keeping the council consistently up-to-date as possible changes in scope and budget arose.  My intent was to provide council with complete information about a design option that more fully met your adopted values, rather than continually involve you in the iterative process.  In communications prior to and during the recent work session I acknowledged that it was not a good decision, and I offered no excuses to try to justify my decision.  Although the process has been faulty, there has not been a conspiracy, nor secret intent, nor an attempt to “hoodwink” the council.  I believe suggesting otherwise is unwarranted, unfounded and unbelievable, and also disrespects the independence, judgment and discernment of the other council members...""",Communication Breakdown & Responsibility Assumption,Defensive Accountability,**Code:** Acknowledgment of Failures and Denial of Conspiracy,Assumption of Responsibility and Denial of Deception,Transparently Accountable,Acknowledgment of Failures and Denial of Conspiracy,Acknowledgment of Failures and Denial of Conspiracy,Transparently Accountable,**Acknowledgment of Failures and Denial of Conspiracy**
"It is too bad your God is not forgiving or tolerant of all humankind and thier antics...it has always amazed me that grownup adults honestly believe in fairy tails such as the bible. They tried to ram that dogma down my throat as a little kid. Thank goodness I was not buying into that fantasy and I can think for myself and forgive/accept others without fear. So much hypocrisy in organized religion. It is scary. There is no difference betweena right-wing conservative hating on gays than a Muslim hating on America...both are following the word of God. Same, same, but different.","The qualitative code for this comment could be: Criticism of organized religion for intolerance, hypocrisy, and divisiveness.",Rejection of Dogmatic Religion,**Code:** Critique of Religious Dogma and Hypocrisy,Critical Rejection of Dogmatic and Hypocritical Religion,Critique of Dogmatic and Hypocritical Religious Ideologies,Critique of Dogmatic and Hypocritical Religion,Critique of Dogmatic and Hypocritical Religion,Critique of Dogmatic and Hypocritical Religious Ideologies,Critique of Dogmatic and Hypocritical Religion
"I agree with most of your comment except the part about the southern racists becoming republicans. In fact, out of all of the southern racist democrats, only 3 became republicans. All of the rest remained with the democratic party. Republicans have never been supportive of segregation, then or now. The major switch between the parties was strictly due to economic theory, not race. I would also agree that the democrats embraced the ideals of Lincoln since the 60's/70's but the republicans have never left those ideals. Nothing has been done to keep blacks from voting, only to keep anyone not entitled to vote from voting. There is no evidence that voting ID laws have had any impact on anyones ability to vote.",The qualitative code for the comment could be: Political party switch driven by economic theory and Voting laws address voter eligibility.,Reframing Party History,**Denial of Racial Motivation in Party Shift**,Party Shift: Ideological Denial of Racial Motivation,Ideological Reframing: Denial of Racial Motivation,Reframing Party Shift: Denial of Racial Motivation and Ideological Drivers,Ideological Reframing: Denial of Racial Motivation,Ideological Reframing: Denial of Racial Motivation,Ideological Reframing: Denial of Racial Motivation
"Being from Springfield, having a ""no brainer"" that was at least up for discussion would at times be an improvement to the apparently ""brained"" who have found the brain more useful as a seat cushion on a Eugenian bicycle than a policy tool.  And, god forbid, Springfield finally figure out it's a real city with real people and real problems that mostly poverty and economic isolation can explain, lest they finally also lose the inferiority complex that makes them think they are stuck and must forever be ""Eugene's misfit sister"" so must sell themselves to anyone that Eugene does not want...","Perception of political apathy and inferiority complex in Springfield, contrasted with reality of poverty and civic potential.",Small City Inferiority Complex,Urban Identity Struggle,Struggling Urban Identity: Inferiority and Dependency in the Shadow of Eugene,"Urban Inferiority & Dependency  
Shadowed Identity",**Final Code:** Urban Identity Struggle: Inferiority and Dependency,Urban Identity Struggle: Inferiority and Dependency,Struggling Urban Identity: Inferiority and Dependency in the Shadow of Eugene,**Final Qualitative Code: Urban Identity Struggle: Inferiority and Dependency**
"No, Art. I didn't ""meat"" that.  Admit you're lying again, or merely delusional, unless you're willing to post a source for your most recent nonsense. Most Secretaries of State are Republicans. In Kansas, home of that skunk Kobach, the KS SOS, he has Kansas City, Wichita and Topeka, somewhat ""blue"" cities. He couldn't find but about three cases, all Republicans, of fraud, despite years of his McCarthyite ""investigations."" He even accused one frequent voter of being dead. The guy, who had just finished mowing his lawn, said he felt dead, but wasn't.

Given that you're a proud Son of the Confederacy, I understand how you're bothered by black people voting.","Politically-motivated voter fraud investigations with minimal findings, particularly targeting Democratic voters and minorities, reflecting biased perceptions and underlying tensions.",Accusation of Racially Motivated Voter Suppression,**Code:** Voter Fraud Allegations and Racial Voter Suppression,Politicized Voter Fraud Claims and Racial Suppression,**Qualitative Code:** Politicized Voter Fraud Allegations as Racial Voter Suppression,**Refined Code:** Politically motivated voter fraud allegations and racial suppression.,The qualitative code from the response is: Racial Voter Suppression.,Politicized Voter Fraud Allegations as Racial Voter Suppression,Politicized Voter Fraud Allegations as Racial Voter Suppression
"More bluster about what people think Trump will do.   He won't do anything if he doesn't at least gain the support of this own party, let alone find cooperation from Democrats.    Trump sells an brand in his professional work.  It's really quite a smart, maybe brilliant way to make money and enrich himself.    The man knows what it takes to sell a product and it has little to do with job competence.

I trust nothing about Trump as far as what he might do in a position of public leadership.   Trump isn't special, he's a carnival barker that is selling the public a hazy dream of what's inside the tent.  We don't know what it is, but it's Huge, Special, Exciting, Fantastic.   Don't be surprised by what you get after you buy your ticket.","- Slick
- Self-interested
- Salesman
- Ambiguous promises","Cynicism_towards_Trump's_Authority  
Skepticism_of_Trump's_Intentions",Trump as a Brand: Marketing Over Substance,"1. Skepticism of Trump's Authority through Branding
2. Cynicism towards Trump's Competence: Branding vs. Substance","- Trump's_Branding_vs_Substance
- Skepticism_of_Trump's_Brand
- Cynicism_towards_Trump's_Marketing
- Distrust_of_Trump's_Image",Trump's Branding Over Substance,Identifying Main Idea and Maintaining Clarity and Accuracy,Summary_Condensation,The qualitative code extracted from the response is: Trump's_Branding_vs_Substance.
"No, you misunderstand, Larry. I'm not suggesting that we need efforts to compensate for past injustices -- I'm suggesting that we need efforts to correct for CURRENT injustices. Voting rights are still being denied based on spurious suggestions of voter fraud (which is virtually non-existent, except in the fevered minds of Republican operatives). Some Republicans have even been courageous (or stupid) enough as to admit that their efforts to restrict voting -- which disproportionately affect (otherwise legitimate) Democratic voters -- are intended to help Republicans win elections. Similarly, it's obvious that there is widespread discrimination against black Americans in policing and other areas. These injustices require attention, and won't be cured by hiding behind the notion that we're beyond race.",Addressing current injustices and discrimination,Systemic Injustice Persistence,Current Injustices: Voting Rights & Racial Discrimination,"* LLM-1: Addressing persistent current injustices in voting and racial discrimination.
* LLM-2: Persistent systemic injustices: Voting rights & racial discrimination.
* LLM-3: Persistent current injustices: Voting rights & racial discrimination.","1. Addressing current injustices and discrimination
2. Systemic Injustice Persistence
3. Current Injustices: Voting Rights & Racial Discrimination
4. Persistent Current Injustices: Voting Rights & Racial Discrimination
5. Systemic Current Injustices in Voting Rights and Racial Discrimination
6. Ongoing Discrimination and Injustice: Voting Rights and Racial Bias",**Refined Code:** Current Injustices: Voting Rights & Racial Discrimination,**Current Injustices: Voting Rights & Racial Discrimination**,Current Injustices: Voting Rights & Racial Discrimination,Ongoing Injustices: Voting Rights & Racial Discrimination
"What I have learned from talking to the rabid Trump supporters is that they believe whatever Trump says, regardless of any factual basis.  Trump supporters believe that Muslims were celebrating in the streets of New Jersey during the 9/11 attacks, they believe that it is constitutionally correct to specifically discriminate against Muslims, and that all immigrants are to blame for our problems here in America.  Trump supporters as a whole are angry white people looking to blame the government for their failures in life. Most Trump supporters appear to have a very limited understanding of the basics of government, and they are happy to  support a vulgar man who acts like a 12-year-old boy.   When is the last time a billionaire did you any favors?","Blind loyalty to Trump; factual deAFraction, scapegoating of marginalized groups, and anti-intellectualism among Trump supporters.",Blind Partisanship,**Xenophobic and Unfounded Beliefs**,**Blind and Xenophobic Partisanship**,"- **Blind and Xenophobic Partisanship**
- **Unfounded and Xenophobic Loyalty**
- **Partisan Xenophobia**",**Xenophobic and Unfounded Beliefs**,"Blind and Xenophobic Partisanship: Trump supporters' uncritical acceptance of conspiracy theories and bigoted views, lack of understanding of government, and support for a leader without factual or political basis, reflecting angry white resistance to the elite and the government.",Blind and Xenophobic Partisanship,Blind Xenophobic Partisanship
"If any billionaire did me a favor, which is statistically improbable, they would at least do it using their own money. Democrats prefer to do favors using taxpayer's money, but only when it benefits them in getting votes.

Actually, my son was offered a favor from a billionaire once in the form of a job when he gets out of the military. As it so happens, they were seated next to each other on an airplane flight, in coach. The guy didn't believe in owning a private airplane or flying first class. My son checked this guy out later, and he was legitimate.

""Angry white people blaming government for our failures in life?"" I thought we were the privileged, the 1 percent. Funny how liberals use both sides of an argument as it suits them. But most Trump supporters recognize his petulance and know he is not right on all issues, but he will get some things done that no Beltway politician will even attempt. That is a big step up from someone like do-nothing congenital liar Hillary.",Hypocrisy and mistrust in government vs. recognition of political imperfections,Politicized Resentment,Admiration for Self-Made Success and Skepticism of Government Intervention,Skepticism towards Politicized Dependency and Admiration for Authentic Self-Made Success,"**Resentment towards Politicized Dependency, Admiration for Authentic Self-Made Success, and Skepticism of Hypocrisy**

**Skepticism of Politicized Hypocrisy and Admiration for Self-Reliance**",Admiration for Self-Made Success and Skepticism of Government Intervention,Supporting Disruptive Leadership,"Critique of Government Dependency, Admiration for Self-Made Success, and Support for Disruptive Leadership","**Final Agreed Qualitative Code:**

Skepticism of Politicized Hypocrisy and Admiration for Self-Made Success"
"Who is the Athabascan Nation?  Seems they have a central role in this case that ought to be investigated.  The officers were perfectly civil.  Who generated all this hate?  I mean the previous articles showed this guy was a POS to his wife and kids as well.  And now he tries to hide behind some political claptrap?  Especially when they tried to cover it up afterwards.  This has to be so sad for the families of these troopers to hear how reasonable and accomadating they were, only to be gunned down by some idiot kid who had been drinking hid dad's political kool aid.",Politicized Violence against Authority Figures,Disgust at Politicized Violence,"Ethnic Identity, Personal Failings, and Political Rhetoric: Clash Between Individual and Broader Contexts",**Refined Code: Frustration with Politicized Violence and Personal Failings in an Ethnic Context**,Outrage at Politicized Violence in Ethnic Context,"Ethnic Identity, Personal Failings, and Political Rhetoric: Clash Between Individual and Broader Contexts",Outrage at Politicized Violence in Ethnic Context,Frustration with Politicized Violence and Personal Failings in an Ethnic Context,"Ethnic Identity, Personal Failings, and Political Rhetoric: Clash Between Individual and Broader Contexts"
"This is not a story about fear. it's about irrational fear coupled with ignorance. 

Your profiling of Guido (and previously expressed distrust of all Muslims) is a perfect example and illustrates the fact that the part of the brain that creates fear is more active in conservative brains. ""In a study published in January, a team led by psychologist Michael Dodd and political scientist John Hibbing of the University of Nebraska–Lincoln found that when viewing a collage of photographs, conservatives' eyes unconsciously lingered 15 percent longer on repellent images, such as car wrecks and excrement—suggesting that conservatives are more attuned than liberals to assessing potential threats."" There are many other studies confirming this.

http://www.scientificamerican.com/article/calling-truce-political-wars/",Irrational fear and bias in conservative attitudes,Fear-Based Bias,Fear and Irrationality in Conservative Thought,Irrational Fear in Conservative Bias,"1. Irrational Fear and Conservative Bias
2. Fear-Driven Conservative Biases
3. Conservative Ideology and Irrational Fear
4. Bias Through Irrational Fear in Conservative Thought",Irrational Fear in Conservative Bias,Irrational Fear and Ignorance in Conservative Attitudes: Threat Sensitivity and Active Fear Centers,Irrational Fear in Conservative Bias,**Final Qualitative Code: Fear-Driven Conservative Biases**
"I will tell you I was drawn to Ms. Iannarone for a few reasons, not the least of which is that we can't risk Creepy Jules Bailey in a runoff. Do you want someone who uncritically tithes 10-15% of his income depending on who/what you believe his church's mandatory tithe is, to a church that believes gay people are subhuman, interracial marriage is bad, and disabled people don't have souls? Yeah. Creepy Jules will fight dirty in a run-off, and every run-off is dirty.

Ms. Innarone may not have the best soft skills. Nobody elects a mayor based on being nice or Adams and Hales never would have happened. The ""she's sometimes short with people"" is kinda gendered, and y'all know it. So isn't Wheeler, so isn't Davis...

I'll accept Ted if needs be. But I don't want to deal with the risk of dirty, shady tactics from the Bailey campaign, where a man claims to stand for one thing, but supports much darker things with his $ under color of ""religion."" Tithing uncritically to hate is unacceptable.",Uncritical support for discriminatory religion and potential for dirty campaign tactics,Rejecting Hypocrisy,Rejecting Candidates with Harmful Affiliations and Unethical Tactics,Rejecting Candidates with Harmful Affiliations and Unethical Tactics,Rejecting Harmful Associations and Unethical Campaigning,**Code:** Rejecting Hypocrisy and Unethical Tactics: Preference for Ethical Candidates Despite Flaws,"Criticizing Candidates' Harmful Affiliations and Unfair Treatment, Supporting Flawed Candidates with Ethical Concerns",Rejecting Harmful Associations and Unethical Campaigning,Rejecting Candidates with Harmful Affiliations and Unethical Tactics
"Since I like to quibble, John Divivo seems to fit the bill. Shot both pilots, killed one, and tried to crash the plane after his hijacking demands were rebuffed. I don't know for sure he was christian, but since this was the early 70s it is possible he identified as such.

Anyway, ""Guido fit the profile""?  Look at https://economics.sas.upenn.edu/sites/economics.sas.upenn.edu/files/imagecache/faculty_main/faculty_images/menzio.jpg

""Had the unthinkable happened, the lady would have been the smartest passenger on the plane"". No, she still would have been on the dumb side for mistaking an Italian for Arab and integrals for Arabic. She would have been lucky is all. Is someone that goes the wrong way down a one-way street and hits a robber smart or lucky?",Code: Misperception and Misguided Judgment,Skepticism_towards_profiling,**Code:** Profiles and Perceptions of Luck vs. Skill,Misperceived Profiles and Questioning Assumptions,Misperceived Profiles and Challenged Assumptions: Luck vs. Skill,Misperception and Judgment: Luck vs. Skill,"Misperception, skepticism, profiling, luck vs. skill, intelligence, challenged assumptions.",Misperceived Profiles and Challenged Assumptions: Luck vs. Skill.,Misperceived Profiles and Challenged Assumptions: Luck vs. Skill
"I'm still waiting for something substantive to come out of Mr. Trump's mouth in the way of an actual plan as to how he is going to ""Make America Great Again.""  Calling anyone who doesn't support Trump ""empty headed"" is exactly what we expect from Donald Trump and his supporters. Obama haters have spent the past eight years ranting about how horrible things are under our ""Muslim"" president.  The tea party reared its ugly head, came to power, yet nothing was accomplished. Those same radical extremists have now thrown their weight behind Donald Trump, who offers only vague promises and further divides America with his divisiveness and hateful rhetoric.  So I would like to see Mr. Trump act presidential and hear him engage in some intelligent and respectful discourse instead of his continuous verbal dysentery of random insults and vulgarity.   This makes me the one who is ""empty-headed?""","Qualitative Code: Lack of substantive plan, divisive rhetoric, skepticism about leadership, concern about respectful discourse",Critique of Divisive Rhetoric,Critique of Trump's Leadership and Lack of Substance,Critique of Trump's Divisive Leadership and Lack of Substance,"- Trump's lack of substantive plan and divisive rhetoric
- Critique of Divisive Rhetoric
- Critique of Trump's Leadership and Lack of Substance
- Critique of Trump's Divisive Leadership and Lack of Substance",Critique of Trump's Divisive Rhetoric and Lack of Substantive Plan,"Critique of Trump's Leadership (Inability to Present a Concrete Plan, Divisive Rhetoric, and Comparison to 'Radical Extremists') with a Desire for Respectful Discourse",Critique of Trump's Divisive Leadership and Lack of Substance,Critique of Trump's Divisive Leadership and Lack of Substance
"Arvin Kangas should be charged for 1st degree murder. He didn't pull the trigger but he set the stage and responded in a way that led to the intentional murder of two of Alaska's finest troopers. Right now in California Charles Manson rots in prison after programming four proteges to commit horrific murders in the name of shaking things up. I can't but think after the elements of this trial came out that the good people of Tanana, the LEOs who knew the law and most importantly the District Attorney's office( I know that they have had transitions during the interim of when this crime happened) would allow Arvin Kangas to get by with committing murder. He programmed that boy with anti-white hate and seated within him a great fear of law enforcement officers. He knowingly pulled the trigger by making those troopers wait and subdue him while his son acted in a predicted way. Nathanial Kangas is a murderer. But Arvin Kangas is also a murderer.","Arvin Kangas is portrayed as a crucial contributor to the intentional murder of two Alaska troopers. He is described as having set the stage for the murder by instilling anti-white hate and fear of law enforcement in his son, and knowingly triggering the event. The comment draws a parallel to Charles Manson, emphasizing Arvin Kangas as a manipulative figure who should be held accountable for the crimes.",Accountability by Association,Influence and Accountability in Murder,**Code:** Instigative Influence and Moral-Legal Accountability,**Instigative Influence and Moral-Legal Accountability in Murder**,**Final Code:** Influence and Accountability in Murder,Influence and Accountability in Murder,Influence and Accountability in Murder,Instigative Influence and Moral-Legal Accountability in Murder
